name,image,description
АСТ,publishers\1205_0.jpg,"Российская издательская группа «АСТ» была основана в 1990 году как торговая организация, книгоизданием начала заниматься в 1992. На сегодняшний день является одним из крупнейших и узнаваемых издательств в России, может похвастаться многими литературными премиями.

В книжный холдинг входят более 50 издательств, самые известные — «Астрель», «Харвест», «Аванта+», Corpus. Издательство сотрудничает с именитыми писателями и регулярно открывает читателям новых авторов, каждый месяц выпуская более 800 книг. Книги «АСТ» постоянно становятся бестселлерами.

Ассортимент издательства необычайно широк, в нем найдутся издания на любой вкус: отечественная и зарубежная классика, современная литература, детские книги, non-fiction и деловые издания, книги для творчества и учебы."
Махаон,publishers\120227_0_1.jpg,"Издательство «Махаон» выпускает художественную литературу для детей и взрослых с 1993 года.

Развивающие книги для малышей научат ребенка читать, писать и считать. Ученикам пригодятся энциклопедии, хрестоматии, книги Disney для изучения английского языка и классические произведения из школьной программы.

Книги издательства «Махаон» о Гарри Поттере, отечественная и зарубежная проза заинтересуют подростков и взрослых. Серия «Тайны и сокровища» расскажет о динозаврах и пиратах, вампирах, феях и русалках.

Книголюбов наверняка порадуют широкий ассортимент серий, красочные иллюстрации и качественное исполнение изданий."
